airline_sentiment,clean_tweet
negative,found flight tomorrow cancelled flightled amp got queue callback hours ago still nothing get rebooked
neutral,looking status flight schedule tomorrow morning thank
negative,thanks canned response makes look like care customers sure twitter users fall
negative,yes able get push notification via app logged trip email text
negative,ratchet airway
negative,check reservation joe watson kelsey jennings hold hours waiting call back eta
negative,new worse taking americanairlines nocustomerservice fail
negative,flight tomorrow slc dfw aa cancelled flighted help get
negative,odds bag picked someone another country says located yet
negative,better right thing take care els losing business
negative,waiting call back two hours jan die tomorrow cancelled flightled options
neutral,already landed still care thanks help though k ow caused failure
negative,one staff desk queuing hr
neutral,anything
negative,even worse time responded tweets took two flights five hours quickest response
negative,top online record unavailable well get anyone phone
negative,ex boyfriend picks calls cancelled flightedflight nocustomerservice americanairlines fail
negative,hey aa suggestion note seat maps seats electronics box blocking legroom aa
negative,still selling tickets rebooked people arrive destinations time
positive,really need anything saw mentions often negative keep good work gratitude
positive,americanview sweet home chicago
positive,ltaljx dca oma morning staff helped fix problem helpful goodthingscome thanks
negative,oh shiz minutes wait first hour barrier unbelievable
negative,wow still screw n stuff
negative,checked app said flight moved back day explanations answer number
negative,employees racist
negative,pathetic customer service bag tags barcodes computers response yet located
negative,hope takes hours get home take flight cancelled flightled staff plane
negative,aa going fix utterly embarrassing customer service even answer dang phone
negative,yet next terminal customer service area
negative,gets better passengers rebooked direct airlines whereisthelove whybeaaff
negative,need speak real person flight cancelled flightled explanation hold hours
negative,let seriously unhappycustomer
negative,ever think prepared bringing people anyone business sense aa
